seed,dataset,level,acc,disparity,time
0,ACSIncome,0,0.8040172223891059,0.2042164221852558,124.3847330000001
0,ACSIncome,1,0.8028677280464604,0.1423446253433852,122.9989529999998
0,ACSIncome,2,0.8010613797937318,0.1090107921855416,121.33040200000003
0,ACSIncome,4,0.7984760188244718,0.0779779092757802,118.5738510000001
0,ACSIncome,6,0.7962050665865625,0.0540071711441783,120.68969700000002
0,ACSIncome,10,0.7931030339441274,0.0282109341474871,118.60247200000003
0,ACSIncome,15,0.7922439170922199,0.0238058918192664,119.2637639999998
0,ACSIncome,25,0.7911885451086412,0.0153246766920696,119.70775600000024
0,ACSIncome,35,0.7894582957845199,0.0068438658811737,120.79732599999988
0,ACSIncome,50,0.7871432862721538,0.0031091582855186,119.93139400000018
1,ACSIncome,0,0.804613998197657,0.2146433806444193,117.73686799999996
1,ACSIncome,1,0.804463802943827,0.1545425839262113,118.41589000000022
1,ACSIncome,2,0.802925803544608,0.1155323513358071,118.00275499999998
1,ACSIncome,4,0.8001922499249023,0.0759621825210383,119.93908899999995
1,ACSIncome,6,0.7982056673675778,0.0558654801726178,119.24542900000006
1,ACSIncome,10,0.7953439471312707,0.0323038073570787,119.33108799999992
1,ACSIncome,15,0.794248523080004,0.0239079964273718,121.2308149999999
1,ACSIncome,25,0.7934574947431661,0.0188665452149549,118.76157000000012
1,ACSIncome,35,0.7920076098928607,0.0114519865540362,120.22092900000008
1,ACSIncome,50,0.789794733153099,0.0024419385957211,120.77577400000064
2,ACSIncome,0,0.8049364173425453,0.170905194918897,123.79900999999973
2,ACSIncome,1,0.8039150896165015,0.1253181629535741,119.78700000000116
2,ACSIncome,2,0.8021628116551517,0.0948483117184421,124.40259399999924
2,ACSIncome,4,0.7998177630920196,0.0671467458785027,121.14993799999957
2,ACSIncome,6,0.7981115450085111,0.0509224761747508,121.88274400000046
2,ACSIncome,10,0.7961489936917994,0.0321511621549436,122.6454470000008
2,ACSIncome,15,0.7949234004205467,0.0222781974441345,120.86948799999936
2,ACSIncome,25,0.7938780414538901,0.0148219838568157,123.15943599999991
2,ACSIncome,35,0.7925463102032643,0.0093054333265888,121.58576699999958
2,ACSIncome,50,0.7920196255131671,0.0088395913402397,121.9197410000006
3,ACSIncome,0,0.8050705917693001,0.1848907338033839,116.7577250000004
3,ACSIncome,1,0.8042855712426153,0.13856986053613,117.02725799999916
3,ACSIncome,2,0.8025192750575748,0.1075135179825956,118.39412600000104
3,ACSIncome,4,0.8001762290978272,0.0785823797212703,119.96574099999908
3,ACSIncome,6,0.7979693601682187,0.0538367018123924,121.0403269999997
3,ACSIncome,10,0.7951677180334434,0.0308385512941762,122.05022400000053
3,ACSIncome,15,0.7929668569139882,0.0166271408131433,120.25255800000014
3,ACSIncome,25,0.7923039951937518,0.0126976850039264,122.84775199999967
3,ACSIncome,35,0.7907379593471513,0.0063034896442585,122.1265510000012
3,ACSIncome,50,0.7895303895063582,0.0018395005559322,122.7145359999995
4,ACSIncome,0,0.805461099429258,0.1860285973020762,122.32858900000063
4,ACSIncome,1,0.8040993291278662,0.1237926649397788,121.02766100000008
4,ACSIncome,2,0.802625413036948,0.0950319635204103,119.72110600000089
4,ACSIncome,4,0.8008010413537598,0.0655129825401686,118.81725899999948
4,ACSIncome,6,0.7991909482327025,0.0490632228435881,118.2817730000006
4,ACSIncome,10,0.7972103734855311,0.0341614746120408,119.06060100000104
4,ACSIncome,15,0.7964453789926905,0.0271881662563299,121.12018599999828
4,ACSIncome,25,0.7939641533994193,0.0079128543857956,121.50514600000132
4,ACSIncome,35,0.7942765595273856,0.0094906854324726,118.8971590000001
4,ACSIncome,50,0.7929468308801442,0.0017417389201217,118.84295099999872
5,ACSIncome,0,0.8059297086212076,0.1707544183435103,119.00738900000032
5,ACSIncome,1,0.8045779513367377,0.1219202934905429,122.23260100000152
5,ACSIncome,2,0.8033303294282568,0.1002295381374803,122.40144299999884
5,ACSIncome,4,0.8004686091919495,0.0670390111212069,121.6309629999996
5,ACSIncome,6,0.7990767998397917,0.0534910063900408,123.2603909999998
5,ACSIncome,10,0.7967597877240412,0.0297051808206898,120.1388960000004
5,ACSIncome,15,0.7944407730049063,0.0140579102081789,119.88740199999847
5,ACSIncome,25,0.7945028537098228,0.0156204699877872,120.8955130000013
5,ACSIncome,35,0.7924782216881947,0.0052372546516049,123.16220300000168
5,ACSIncome,50,0.7921097426654651,0.0045779960529462,121.8131689999991
6,ACSIncome,0,0.8047722038650246,0.1934335850650352,118.0209020000002
6,ACSIncome,1,0.8041854410733954,0.1424270541900095,118.8296969999992
6,ACSIncome,2,0.8023891058375888,0.1092059821876691,118.12625800000023
6,ACSIncome,4,0.8002383098027436,0.0750470872739614,116.7481719999996
6,ACSIncome,6,0.7985581255632322,0.0577262248266058,116.45501599999989
6,ACSIncome,10,0.7959847802142785,0.0327285108286123,115.9356000000007
6,ACSIncome,15,0.7949654550916191,0.025795286490363,125.57713299999888
6,ACSIncome,25,0.7932512265945729,0.0148011371269834,121.96070700000018
6,ACSIncome,35,0.7930129167918294,0.0158603656366435,119.99338100000024
6,ACSIncome,50,0.7913187143286272,0.0038897191331653,118.7140900000013
7,ACSIncome,0,0.8049464303594673,0.1817183794265616,124.9293800000014
7,ACSIncome,1,0.8037368579152899,0.1353615227756989,128.47069199999896
7,ACSIncome,2,0.8021207569840793,0.1053613283102734,125.92489000000204
