seed,dataset,lambda_mmd,in_processing,acc,disparity,time
0,ACSIncome,0.0,True,0.8033803945128667,0.1841322808776471,1149.855708
0,ACSIncome,0.1,True,0.8022068689296085,0.1339411994833056,1091.442571
0,ACSIncome,0.25,True,0.8005246820867127,0.103612909720496,1110.911206
0,ACSIncome,0.5,True,0.7988064483828977,0.0745536712823239,1108.314963
0,ACSIncome,1.0,True,0.796483428456994,0.0551365692723121,1093.098418
0,ACSIncome,2.0,True,0.7929828777410634,0.0370699155253403,1094.988294
0,ACSIncome,3.0,True,0.789884850305397,0.0230848329070324,1085.018847
0,ACSIncome,4.0,True,0.7893962150796034,0.0232461364700958,1088.305744
0,ACSIncome,5.0,True,0.7856693701812356,0.018674638599239,1094.823582
0,ACSIncome,10.0,True,0.7798838490037048,0.0090758573808381,1100.943662
1,ACSIncome,0.0,True,0.8036847902272954,0.2072998205886913,1144.735926
1,ACSIncome,0.1,True,0.8035566236106939,0.15271637789128,1106.395337
1,ACSIncome,0.25,True,0.8023370381495945,0.1133311045500159,1111.136281
1,ACSIncome,0.5,True,0.8002142785621308,0.0828882428902241,1109.637858
1,ACSIncome,1.0,True,0.7964754180434565,0.0508819885769536,1111.267273
1,ACSIncome,2.0,True,0.7930830079102834,0.02962848305579,1100.818268
1,ACSIncome,3.0,True,0.7913587663963152,0.0237308275541381,1090.734165
1,ACSIncome,4.0,True,0.7895484129368179,0.015961578553622,1093.911388
1,ACSIncome,5.0,True,0.7857074196455393,0.0171024713951921,1095.955097
1,ACSIncome,10.0,True,0.7811955542204866,0.0057581622423759,1101.829591
2,ACSIncome,0.0,True,0.8034444778211676,0.1822367005613364,1150.697132
2,ACSIncome,0.1,True,0.8036467407629919,0.1316528642485371,1106.583347
2,ACSIncome,0.25,True,0.8022849704616001,0.0982219515158921,1109.502236
2,ACSIncome,0.5,True,0.7999679583458496,0.0714215511861372,1104.170508
2,ACSIncome,1.0,True,0.7972484229498348,0.0484655986014241,1106.281607
2,ACSIncome,2.0,True,0.7940823069990989,0.0293229320251059,1099.455208
2,ACSIncome,3.0,True,0.7920236307199359,0.0218243048356734,1097.103573
2,ACSIncome,4.0,True,0.7892580354460799,0.0147890817219774,1097.909726
2,ACSIncome,5.0,True,0.7873635726444378,0.0123967110224034,1097.419646
2,ACSIncome,10.0,True,0.7795634324622008,0.0017747942173508,1099.754785
3,ACSIncome,0.0,True,0.8023430459597477,0.1987926189027281,1145.238139
3,ACSIncome,0.1,True,0.8019305096625613,0.1449130698927813,1107.661325
3,ACSIncome,0.25,True,0.8007449684589967,0.1129760793599083,1099.946336
