seed,dataset,epsilon,acc,disparity,time
0,ACSIncome,0.001,0.7925463102032643,0.0014123094605598,3044.054109096527
0,ACSIncome,0.0135,0.7974006208070492,0.0377758405377537,2649.256362199784
0,ACSIncome,0.026,0.7974887353559628,0.0380129138755048,3222.9923210144043
0,ACSIncome,0.0385,0.8002583358365876,0.0673638573649483,2973.0218727588654
0,ACSIncome,0.051,0.8034204465805547,0.1134674658339388,4045.232259273529
0,ACSIncome,0.0635,0.803993191148493,0.1350945721539367,3548.613553762436
0,ACSIncome,0.076,0.8047802142785622,0.1508072179767332,2981.263388156891
0,ACSIncome,0.0885,0.8053149093821969,0.1870045854996529,2850.672259330749
0,ACSIncome,0.101,0.8053149093821969,0.1870045854996529,3673.368808746338
0,ACSIncome,0.1135,0.8053149093821969,0.1870045854996529,3269.1058597564697
1,ACSIncome,0.001,0.7939841794332633,0.0050093240395642,3641.761600017548
1,ACSIncome,0.0135,0.7979533393411435,0.0288570695732793,2900.3456604480743
1,ACSIncome,0.026,0.8001161509962952,0.051727985693549,2981.6302349567413
1,ACSIncome,0.0385,0.8025092620406529,0.0800570297651678,2548.68740940094
1,ACSIncome,0.051,0.8037588865525183,0.1012360766923371,3871.11924123764
1,ACSIncome,0.0635,0.8059277060178232,0.134861770846949,3449.7435414791107
1,ACSIncome,0.076,0.8062961850405527,0.1476370520162498,3069.990847349167
1,ACSIncome,0.0885,0.8068228697306499,0.1713675624068901,2609.005116701126
1,ACSIncome,0.101,0.806332231901472,0.1847476711532286,4110.014399766922
1,ACSIncome,0.1135,0.806332231901472,0.1847476711532286,3741.466539621353
2,ACSIncome,0.001,0.7949894863322319,0.0018739767617185,2875.123846054077
2,ACSIncome,0.0135,0.796703714829278,0.0167720044824081,2546.207982301712
2,ACSIncome,0.026,0.7985260839090818,0.0351551508710712,2605.52128648758
2,ACSIncome,0.0385,0.8025813557624912,0.0777811962921778,2981.36435174942
2,ACSIncome,0.051,0.8026374286572544,0.0812532340028303,3998.573928117752
2,ACSIncome,0.0635,0.8044277560829077,0.1198662202847749,3217.801967382431
2,ACSIncome,0.076,0.8055832582357064,0.1435432941168737,3295.3769042491917
2,ACSIncome,0.0885,0.8059036747772104,0.1686062366454992,2939.288373947144
2,ACSIncome,0.101,0.805731450886152,0.1850651197778996,3692.909399032593
2,ACSIncome,0.1135,0.805731450886152,0.1850651197778996,3227.697307348252
3,ACSIncome,0.001,0.7958926604585962,0.0174248986482694,2756.902669429779
3,ACSIncome,0.0135,0.7963212175828577,0.0183335524002918,2916.72939491272
3,ACSIncome,0.026,0.7993631721237608,0.0493037605429365,2921.40245270729
3,ACSIncome,0.0385,0.8020446580554721,0.0788819542314852,3320.694040060044
3,ACSIncome,0.051,0.8022869730649845,0.0926015898596555,3583.476309299469
3,ACSIncome,0.0635,0.8041473916090918,0.1332263627752403,3958.779972553253
3,ACSIncome,0.076,0.8045479122859718,0.1342722949907366,2962.805298805237
3,ACSIncome,0.0885,0.8055592269950936,0.1879447255465831,2936.7176673412323
3,ACSIncome,0.101,0.8055592269950936,0.1879447255465831,4484.064690351486
3,ACSIncome,0.1135,0.8055592269950936,0.1879447255465831,3704.120894432068
4,ACSIncome,0.001,0.7945429057775107,0.0013625850763466,3214.491499900818
4,ACSIncome,0.0135,0.7970761990587764,0.0180307541425979,2567.649406194687
4,ACSIncome,0.026,0.8010753980174227,0.0630443368441456,2923.923954486847
4,ACSIncome,0.0385,0.8022869730649845,0.0788903064667014,2708.6409180164337
4,ACSIncome,0.051,0.8040352458195654,0.105195577645911,3255.4135711193085
4,ACSIncome,0.0635,0.8052888755381996,0.1263149727355479,3026.184018135071
4,ACSIncome,0.076,0.80582156803845,0.1472475006434441,2960.4001219272614
4,ACSIncome,0.0885,0.8063983178131571,0.1571372501997526,3406.0235600471497
4,ACSIncome,0.101,0.8062721537999399,0.18672388191385,3733.679124593735
4,ACSIncome,0.1135,0.8062721537999399,0.18672388191385,3232.715920448303
5,ACSIncome,0.001,0.7933533593671773,0.0118451659678433,3670.83752822876
5,ACSIncome,0.0135,0.7970421548012416,0.0188542851335657,2247.717370033264
5,ACSIncome,0.026,0.801457895263843,0.058181823321431,2440.314706325531
5,ACSIncome,0.0385,0.8021407830179234,0.0729863722122093,3090.900438070297
5,ACSIncome,0.051,0.8041634124361671,0.11347838942866,3587.1735124588013
5,ACSIncome,0.0635,0.8048583158105537,0.1155441825562333,3204.8103013038635
5,ACSIncome,0.076,0.8053990187243416,0.1352279413038595,2838.3284740448
5,ACSIncome,0.0885,0.8068669270051066,0.1892848409853938,3302.7226872444157
5,ACSIncome,0.101,0.8068669270051066,0.1892848409853938,3766.279568195343
5,ACSIncome,0.1135,0.8068669270051066,0.1892848409853938,3239.6005153656006
6,ACSIncome,0.001,0.7934394713127065,0.0026678229964274,3486.8369047641754
6,ACSIncome,0.0135,0.7966276159006709,0.0219450576559223,3275.165651321411
6,ACSIncome,0.026,0.7997416641634124,0.0544602415850306,3279.7727065086365
6,ACSIncome,0.0385,0.801668168619205,0.0753542945569224,3561.0414102077484
6,ACSIncome,0.051,0.8019345148693301,0.0801452758300846,4157.762568473816
6,ACSIncome,0.0635,0.8046099929908882,0.1268181838724844,3071.796827316284
6,ACSIncome,0.076,0.8047081205567237,0.1362680180979287,3440.587553501129
6,ACSIncome,0.0885,0.8054971462901772,0.1883819082880002,3783.563871860504
6,ACSIncome,0.101,0.8054971462901772,0.1883819082880002,3786.948938131333
6,ACSIncome,0.1135,0.8054971462901772,0.1883819082880002,4210.720098972321
7,ACSIncome,0.001,0.795706418343847,0.008931251210475,2716.4279882907867
7,ACSIncome,0.0135,0.797384599979974,0.0212842870097125,2953.9129486083984
7,ACSIncome,0.026,0.7988805447081205,0.0373210745520845,2917.973207473755
7,ACSIncome,0.0385,0.8027335536197057,0.0814344688662189,2796.086891889572
7,ACSIncome,0.051,0.8028617202363072,0.0821951147433072,3612.2752799987793
7,ACSIncome,0.0635,0.8055592269950936,0.1340990537724445,3434.1814687252045
7,ACSIncome,0.076,0.8055932712526284,0.1345316143340354,2842.2867436409
7,ACSIncome,0.0885,0.8061299689596475,0.173657126315478,2945.481943368912
7,ACSIncome,0.101,0.8060658856513467,0.1877382023885175,4250.51922082901
7,ACSIncome,0.1135,0.8060658856513467,0.1877382023885175,3705.476971387863
8,ACSIncome,0.001,0.7950595774506859,0.0016652380364177,3072.5364921092987
8,ACSIncome,0.0135,0.7970882146790829,0.020208950705544,2538.983290910721
8,ACSIncome,0.026,0.7989085811555021,0.0379681703556556,2929.2922151088715
8,ACSIncome,0.0385,0.8024531891458897,0.075646838292806,2447.866030693054
8,ACSIncome,0.051,0.8046320216281165,0.102610767630162,3229.640508413315
8,ACSIncome,0.0635,0.8064103334334635,0.1365015949176996,2783.753579854965
8,ACSIncome,0.076,0.8066927005106639,0.1534917906831071,3434.448909521103
8,ACSIncome,0.0885,0.8069209972964855,0.1603177087192012,2941.3871445655823
8,ACSIncome,0.101,0.8067407629918895,0.1860277098172165,4231.128231525421
8,ACSIncome,0.1135,0.8067407629918895,0.1860277098172165,3690.940326929093
9,ACSIncome,0.001,0.7945529187944328,0.0056152915688132,2648.6735911369324
9,ACSIncome,0.0135,0.7985040552718534,0.039203552599482,2528.400280714035
9,ACSIncome,0.026,0.8003124061279664,0.0626497137509647,2949.5981595516205
9,ACSIncome,0.0385,0.801437869229999,0.0725771247651618,3489.4015889167786
9,ACSIncome,0.051,0.8023670772003605,0.084523298036991,3739.484844207764
9,ACSIncome,0.0635,0.8045519174927406,0.1325387251493215,3056.9407517910004
9,ACSIncome,0.076,0.8051286672674477,0.1316483877040975,2846.11767411232
9,ACSIncome,0.0885,0.8055572243917092,0.1769632959280764,3088.7186403274536
9,ACSIncome,0.101,0.8051286672674477,0.189403544741179,3277.021572351456
9,ACSIncome,0.1135,0.8051286672674477,0.189403544741179,3715.800845146179
