seed,dataset,alpha,acc,disparity,time
0,AdultCensus,0.0,0.5164812666348189,0.5509587489513814,0.717243
0,AdultCensus,0.0555555555555555,0.5794717805227598,0.3485021383635129,0.8195530000000009
0,AdultCensus,0.1111111111111111,0.1970927455128642,0.0035483489215017,1.295437999999999
0,AdultCensus,0.1666666666666666,0.5083600627857776,0.9349476708393188,1.5450810000000033
0,AdultCensus,0.2222222222222222,0.5088377806592507,0.933511184075518,1.4121349999999993
0,AdultCensus,0.2777777777777778,0.5092472531222275,0.9351528832341474,1.2077740000000006
0,AdultCensus,0.3333333333333333,0.7526103869514775,0.5372178486942575,0.8681430000000034
0,AdultCensus,0.3888888888888888,0.838531358766123,0.2200948677177402,0.8609000000000009
0,AdultCensus,0.4444444444444444,0.8390773220500921,0.205469623739507,0.8227919999999997
0,AdultCensus,0.5,0.8391455674605883,0.2034210668778382,0.7705929999999981
1,AdultCensus,0.0,0.5802907254487136,0.7368983498419998,0.570371
1,AdultCensus,0.0555555555555555,0.461202484132942,0.7861626179139235,0.8137340000000002
1,AdultCensus,0.1111111111111111,0.5248072067153484,0.2672349540323613,1.16892
1,AdultCensus,0.1666666666666666,0.5039241111035283,0.9421641791044776,2.4334370000000014
1,AdultCensus,0.2222222222222222,0.5048113014399782,0.9386401326699834,1.4778289999999998
1,AdultCensus,0.2777777777777778,0.5048113014399782,0.9386401326699834,1.3378990000000002
1,AdultCensus,0.3333333333333333,0.7389613048522486,0.5599393914545696,0.9383930000000048
1,AdultCensus,0.3888888888888888,0.8387360949976114,0.2251508886536895,0.8442599999999985
1,AdultCensus,0.4444444444444444,0.8416024022384495,0.2133414429868495,0.6240459999999999
1,AdultCensus,0.5,0.8418071384699379,0.211596597843016,0.4628279999999947
2,AdultCensus,0.0,0.6079301166996519,0.012953826350385,0.6208579999999999
2,AdultCensus,0.0555555555555555,0.4714392957073637,0.6794766510566024,0.775271
2,AdultCensus,0.1111111111111111,0.3584931413362451,0.51713153945844,1.5845779999999987
2,AdultCensus,0.1666666666666666,0.5065174367023818,0.9338464738922404,1.3689420000000003
2,AdultCensus,0.2222222222222222,0.5071316453968471,0.9340545038485542,1.3158949999999976
2,AdultCensus,0.2777777777777778,0.5073363816283355,0.9355107135427502,1.1964210000000008
2,AdultCensus,0.3333333333333333,0.7268818671944312,0.5917190259431484,0.8613730000000004
2,AdultCensus,0.3888888888888888,0.8351190882413158,0.2324286206456061,0.7842389999999995
2,AdultCensus,0.4444444444444444,0.8371664505562001,0.2186061012570494,0.7471289999999939
2,AdultCensus,0.5,0.8377806592506654,0.2147221570411928,0.6997619999999998
3,AdultCensus,0.0,0.6595918924452331,0.2098047464320211,0.56521
3,AdultCensus,0.0555555555555555,0.3581519142837644,0.4549090806578175,0.9877689999999992
3,AdultCensus,0.1111111111111111,0.6005596123660684,0.2089338293325148,1.3844200000000022
3,AdultCensus,0.1666666666666666,0.5049477922609704,0.9364459070341424,1.6171320000000016
3,AdultCensus,0.2222222222222222,0.5055620009554358,0.934594816947758,1.492769000000003
3,AdultCensus,0.2777777777777778,0.5056302463659319,0.9348004936240232,1.289800999999997
3,AdultCensus,0.3333333333333333,0.7468095270593053,0.5442884000833379,0.9141869999999984
3,AdultCensus,0.3888888888888888,0.8381901317136422,0.2183690131565431,0.8779289999999946
3,AdultCensus,0.4444444444444444,0.8379853954821538,0.2057029136429786,0.7900319999999965
3,AdultCensus,0.5,0.8379171500716577,0.2035524569634526,0.573200000000007
4,AdultCensus,0.0,0.74053094929366,0.1631324659750087,0.673646
4,AdultCensus,0.0555555555555555,0.4495325189381014,0.707324514540404,0.8453840000000001
4,AdultCensus,0.1111111111111111,0.5039923565140244,0.9868096923083468,1.3487380000000009
4,AdultCensus,0.1666666666666666,0.5063809458813895,0.9318040917544947,1.595214000000002
4,AdultCensus,0.2222222222222222,0.5074728724493278,0.9313907832196736,1.4857679999999966
4,AdultCensus,0.2777777777777778,0.5078140995018086,0.9320107460219054,1.3412410000000037
4,AdultCensus,0.3333333333333333,0.7614140449054801,0.5069078200257376,0.9623870000000068
4,AdultCensus,0.3888888888888888,0.8376441684296732,0.2218862914689353,0.8753329999999977
4,AdultCensus,0.4444444444444444,0.8382583771241384,0.2100578509817636,0.8209149999999994
4,AdultCensus,0.5,0.8379853954821538,0.2076066374133169,0.5721870000000067
5,AdultCensus,0.0,0.5392069883300348,0.2822127655621039,0.763355
