Unnamed: 0,seed,dataset,lambda,acc,disparity,time
0,0,AdultCensus,0.05,0.8533406128437863,0.1565265934700492,459.92540900000006
0,0,AdultCensus,0.15,0.8525216679178326,0.1638343369436446,465.358734
0,0,AdultCensus,0.25,0.8529311403808094,0.1469239333466784,463.41296200000033
0,0,AdultCensus,0.35,0.8499283423189791,0.1110950032670316,462.99753000000055
0,0,AdultCensus,0.45,0.8495188698560022,0.1130572366325527,463.81673500000034
0,0,AdultCensus,0.55,0.8484269432880639,0.0901990098606864,465.9160480000001
0,0,AdultCensus,0.65,0.8487681703405446,0.0664336100133577,463.3010329999997
0,0,AdultCensus,0.75,0.8455606360472259,0.0520506761307769,485.01618699999926
0,0,AdultCensus,0.8500000000000001,0.8396915307445574,0.017996833266398,477.8099300000004
0,0,AdultCensus,0.95,0.834777861188835,6.756481711125972e-05,459.606425
0,1,AdultCensus,0.05,0.8502695693714598,0.1908516435356368,461.48398
0,1,AdultCensus,0.15,0.8467890534361564,0.1478144007132243,471.53819
0,1,AdultCensus,0.25,0.8486999249300484,0.1364766402666357,464.5723200000002
0,1,AdultCensus,0.35,0.8489729065720331,0.1211496228964716,462.4522999999999
0,1,AdultCensus,0.45,0.8480857162355832,0.1246086056643226,467.2828
0,1,AdultCensus,0.55,0.8484269432880639,0.1012185865868541,468.3448430000008
0,1,AdultCensus,0.65,0.8450829181737528,0.0708797257312312,464.42036199999984
0,1,AdultCensus,0.75,0.84283081962738,0.0417604131814897,483.8619209999997
0,1,AdultCensus,0.8500000000000001,0.8356650515252849,0.0060457749574101,479.8655319999998
0,1,AdultCensus,0.95,0.8308196273800587,0.0136065948279425,464.4786260000001
0,2,AdultCensus,0.05,0.8478127345935986,0.1738186841663679,462.051766
0,2,AdultCensus,0.15,0.8496553606769944,0.1536564486898951,470.55594600000006
0,2,AdultCensus,0.25,0.8492458882140176,0.1506263865230394,464.120715
0,2,AdultCensus,0.35,0.8434450283218453,0.117902551804551,469.3591619999997
0,2,AdultCensus,0.45,0.8448781819422644,0.1046774582787534,465.6907339999998
0,2,AdultCensus,0.55,0.8345731249573466,0.0532350475246822,467.3252549999997
0,2,AdultCensus,0.65,0.8358697877567733,0.0707538700523109,460.9255890000004
0,2,AdultCensus,0.75,0.8368252235037194,0.0516119870723094,485.2538089999998
0,2,AdultCensus,0.8500000000000001,0.8253599945403671,0.0060354463945509,477.5667469999999
0,2,AdultCensus,0.95,0.8234491230464751,0.0278303557329155,463.34845700000005
0,3,AdultCensus,0.05,0.8496553606769944,0.180485705334456,461.685114
0,3,AdultCensus,0.15,0.8484269432880639,0.1438073212662121,469.882674
0,3,AdultCensus,0.25,0.8520439500443595,0.154250574985103,464.573457
0,3,AdultCensus,0.35,0.8448781819422644,0.0976953498837341,466.0815910000001
0,3,AdultCensus,0.45,0.8452194089947451,0.1007933561328936,467.2428239999999
