seed,dataset,epsilon,acc,disparity,time
0,AdultCensus,0.001,0.8514979867603903,0.0064403329224888,156.9267060756683
0,AdultCensus,0.011,0.862212516208285,0.0486975937272991,126.53193593025208
0,AdultCensus,0.021,0.8623490070292773,0.0489078000433925,115.4766035079956
0,AdultCensus,0.031,0.8628949703132465,0.0488019834680223,121.8443958759308
0,AdultCensus,0.041,0.8633044427762233,0.0482885957722889,120.61890602111816
0,AdultCensus,0.051,0.8667849587115266,0.0792328623520026,121.25282573699953
0,AdultCensus,0.061,0.8695147751313724,0.1099704897022405,154.3704001903534
0,AdultCensus,0.071,0.8691053026683956,0.1096630278186594,155.19669246673584
0,AdultCensus,0.081,0.8693782843103801,0.1091524937922201,149.61173748970032
0,AdultCensus,0.091,0.869310038899884,0.1075115080509144,172.19730925559998
1,AdultCensus,0.001,0.8574353374735549,0.0115903382332074,129.74128341674805
1,AdultCensus,0.011,0.856548147137105,0.0103503744883275,125.11640858650208
1,AdultCensus,0.021,0.8634409335972156,0.051501867675223,113.72793865203856
1,AdultCensus,0.031,0.8638504060601925,0.0514942329759281,114.9783627986908
1,AdultCensus,0.041,0.8633044427762233,0.0526324569710878,136.4328019618988
1,AdultCensus,0.051,0.8674674128164881,0.0845344276008636,136.43780636787417
1,AdultCensus,0.061,0.8686275847949225,0.0862716380454022,149.80477452278137
1,AdultCensus,0.071,0.8691053026683956,0.0941743110675131,150.67841815948486
1,AdultCensus,0.081,0.8706749471098069,0.1353078774742964,149.70945930480957
1,AdultCensus,0.091,0.8713574012147683,0.1270096975022469,151.8988025188446
2,AdultCensus,0.001,0.8533406128437863,0.0288059372079134,134.7477195262909
2,AdultCensus,0.011,0.8524534225073364,0.0291302365984739,126.81831002235413
2,AdultCensus,0.021,0.8510202688869174,0.0256231380357569,125.99095439910889
2,AdultCensus,0.031,0.8540230669487477,0.0303637109890482,129.95409321784973
2,AdultCensus,0.041,0.862690234081758,0.0794666193053067,126.84802436828612
2,AdultCensus,0.051,0.862212516208285,0.0793650552183678,138.8893485069275
2,AdultCensus,0.061,0.8632361973657272,0.0862580811271192,163.2174732685089
2,AdultCensus,0.071,0.864123387702177,0.0966238931215357,161.89590096473694
2,AdultCensus,0.081,0.8676039036374804,0.1348798330148653,162.49143600463867
2,AdultCensus,0.091,0.8685593393844264,0.1405785987925304,194.05917024612427
3,AdultCensus,0.001,0.8537500853067631,0.0074632001341404,132.32537150382996
3,AdultCensus,0.011,0.8563434109056166,0.0201870050740862,124.53165340423584
3,AdultCensus,0.021,0.8595509451989354,0.0388698038280187,124.53556156158449
3,AdultCensus,0.031,0.8562069200846243,0.0211104389431424,125.64592504501344
3,AdultCensus,0.041,0.8606428717668737,0.0463580019444649,126.2347059249878
3,AdultCensus,0.051,0.8659660137855729,0.0829791007204838,137.01808285713196
3,AdultCensus,0.061,0.8653518050911077,0.0829776932710599,139.49304914474487
3,AdultCensus,0.071,0.8681498669214496,0.1102200952603783,159.33701992034912
3,AdultCensus,0.081,0.8696512659523647,0.1205596178560545,160.5546555519104
3,AdultCensus,0.091,0.8719716099092336,0.1483267674067148,153.654953956604
4,AdultCensus,0.001,0.8515662321708866,0.0083707612554455,132.109352350235
4,AdultCensus,0.011,0.8558656930321435,0.0280274902818377,145.45918774604797
4,AdultCensus,0.021,0.8547055210537091,0.0297654370885155,108.84779334068298
4,AdultCensus,0.031,0.858390773220501,0.0457052530655646,139.81846833229065
4,AdultCensus,0.041,0.8598921722514161,0.0528076195327743,138.03929805755615
4,AdultCensus,0.051,0.8640551422916809,0.0816864689633464,137.24575901031494
4,AdultCensus,0.061,0.8651470688596192,0.084480597219462,140.31716394424438
4,AdultCensus,0.071,0.867399167405992,0.1006745511986895,159.75449013710022
4,AdultCensus,0.081,0.87026547464683,0.1330510041009522,160.41973090171814
4,AdultCensus,0.091,0.8704702108783184,0.1315340303819254,166.5477523803711
5,AdultCensus,0.001,0.855592711390159,0.0164010201030744,131.22953033447266
5,AdultCensus,0.011,0.856070429263632,0.0174579475641006,144.95012760162354
5,AdultCensus,0.021,0.855592711390159,0.0164010201030744,114.3519685268402
5,AdultCensus,0.031,0.861257080461339,0.0421554554990802,125.6042788028717
5,AdultCensus,0.041,0.8629632157237426,0.0546690957248238,137.42484521865845
5,AdultCensus,0.051,0.8678768852794649,0.0896376514149517,139.19288611412048
5,AdultCensus,0.061,0.8690370572578994,0.101256948913765,159.2015438079834
5,AdultCensus,0.071,0.8695830205418685,0.1060040430811538,159.08817958831787
5,AdultCensus,0.081,0.8730635364771719,0.1288473882557234,138.61208820343018
5,AdultCensus,0.091,0.8734047635296527,0.142923784499636,183.174658536911
6,AdultCensus,0.001,0.8577765645260357,0.0180036963880558,157.29878425598145
6,AdultCensus,0.011,0.8595509451989354,0.0242935193605847,126.66816449165344
6,AdultCensus,0.021,0.8627584794922541,0.0354205817820898,126.44036746025084
6,AdultCensus,0.031,0.866989694943015,0.0612461950342905,128.57936215400696
6,AdultCensus,0.041,0.8686275847949225,0.0699682587351782,137.81107115745544
6,AdultCensus,0.051,0.8691053026683956,0.07461039392112,138.40975999832153
6,AdultCensus,0.061,0.870743192520303,0.0881655611813501,153.64616107940674
6,AdultCensus,0.071,0.8751791442025524,0.1273867512177557,140.56653714179993
6,AdultCensus,0.081,0.8767487886439637,0.1285863280233997,160.81055569648743
6,AdultCensus,0.091,0.8761345799494984,0.1290220313354412,170.8612732887268
7,AdultCensus,0.001,0.8527946495598171,0.0238051649921859,133.20085620880127
7,AdultCensus,0.011,0.8534771036647786,0.0249231489966318,124.56148529052734
7,AdultCensus,0.021,0.8554562205691667,0.0357252459288962,127.70326733589172
7,AdultCensus,0.031,0.8557292022111513,0.0352129059064417,128.2229561805725
7,AdultCensus,0.041,0.8610523442298506,0.0557637820855808,139.01385474205017
7,AdultCensus,0.051,0.8656930321435884,0.0844359772487423,127.02736163139345
7,AdultCensus,0.061,0.8670579403535112,0.0911135801249384,160.7690441608429
7,AdultCensus,0.071,0.8669214495325189,0.0964464983809415,160.66371703147888
7,AdultCensus,0.081,0.8690370572578994,0.126479360494535,160.27558612823486
7,AdultCensus,0.091,0.8691053026683956,0.1265812557462162,195.03691935539248
8,AdultCensus,0.001,0.8511567597079096,0.0062215908041078,133.6246099472046
8,AdultCensus,0.011,0.850815532655429,0.0071312330115063,136.48420691490173
8,AdultCensus,0.021,0.8596874360199277,0.0495314846725999,115.39385676383972
8,AdultCensus,0.031,0.8590049819149662,0.0476642874652021,127.32284665107728
8,AdultCensus,0.041,0.8605063809458814,0.0543085345129055,138.70706868171692
8,AdultCensus,0.051,0.8646011055756501,0.0845053809081878,125.05442118644714
8,AdultCensus,0.061,0.8650105780386269,0.0837898959481111,153.8233335018158
8,AdultCensus,0.071,0.8669214495325189,0.1140478863726035,159.58469891548157
8,AdultCensus,0.081,0.8680133761004573,0.1255143563589557,172.1940793991089
8,AdultCensus,0.091,0.8680816215109534,0.1293178802683948,151.62349271774292
9,AdultCensus,0.001,0.8589367365044701,0.019873662090436,133.76151776313782
9,AdultCensus,0.011,0.8509520234764212,0.0169417543116464,146.49368381500244
9,AdultCensus,0.021,0.8596874360199277,0.0207019724971564,125.99021577835084
9,AdultCensus,0.031,0.8614618166928274,0.0382648175528313,139.53933835029602
9,AdultCensus,0.041,0.8632361973657272,0.04310472047486,140.15494847297668
9,AdultCensus,0.051,0.8666484678905344,0.0731866132814713,138.0853898525238
9,AdultCensus,0.061,0.8691735480788917,0.0844644687099151,134.664053440094
9,AdultCensus,0.071,0.8697195113628609,0.1020961554796531,158.2164981365204
9,AdultCensus,0.081,0.8719033644987375,0.1149083119287726,119.67199110984802
9,AdultCensus,0.091,0.8717668736777452,0.1195341341673865,187.8059504032135
10,AdultCensus,0.001,0.8545690302327168,0.0179137462781067,148.455463886261
10,AdultCensus,0.011,0.8570258650105781,0.0312687441612924,145.3223774433136
10,AdultCensus,0.021,0.8545007848222207,0.0186273766175908,123.95114326477052
10,AdultCensus,0.031,0.8585272640414932,0.0414353667855377,125.96209764480592
10,AdultCensus,0.041,0.863167951955231,0.0812659071502695,124.62511658668518
10,AdultCensus,0.051,0.8625537432607657,0.081467254957803,123.37282943725586
10,AdultCensus,0.061,0.8632361973657272,0.0810645593427361,152.72455596923828
10,AdultCensus,0.071,0.8684228485634341,0.1174569917126446,158.82560539245603
10,AdultCensus,0.081,0.8674674128164881,0.1240019845607671,135.18776559829712
10,AdultCensus,0.091,0.8676039036374804,0.1256484190735029,171.78026294708252
11,AdultCensus,0.001,0.8553197297481744,0.0068658302410692,149.02353882789612
11,AdultCensus,0.011,0.855114993516686,0.0060328254950701,145.7558822631836
11,AdultCensus,0.021,0.8550467481061899,0.0051248024468831,124.70006275177002
11,AdultCensus,0.031,0.859346208967447,0.0282237117056559,126.55848121643066
11,AdultCensus,0.041,0.860301644714393,0.0297383559025167,141.43661618232727
11,AdultCensus,0.051,0.8599604176619122,0.0286039492570045,141.14490365982056
11,AdultCensus,0.061,0.8658295229645806,0.0630646830283756,138.49068069458008
11,AdultCensus,0.071,0.8693782843103801,0.09645457640748,150.5645067691803
11,AdultCensus,0.081,0.8693782843103801,0.0981803348030762,146.49898505210876
11,AdultCensus,0.091,0.8704702108783184,0.1119585205521886,173.47352528572085
12,AdultCensus,0.001,0.8580495461680202,0.0317394873401969,127.15310096740724
12,AdultCensus,0.011,0.8545007848222207,0.0167149378625692,123.8190565109253
