seed,dataset,level,acc,disparity,time
0,COMPAS,0,0.6609848484848485,0.2907004311941559,16.848771999999997
0,COMPAS,1,0.6505681818181818,0.1756486434424407,16.401376
0,COMPAS,2,0.6609848484848485,0.1135403855557366,16.100341999999983
0,COMPAS,4,0.6590909090909091,0.0939810630195445,17.59058300000001
0,COMPAS,6,0.6590909090909091,0.0808526086505548,15.79861600000001
0,COMPAS,10,0.6638257575757576,0.0338583727236356,17.950968999999986
0,COMPAS,15,0.6619318181818182,0.0515951220235008,16.729461000000015
0,COMPAS,25,0.6628787878787878,0.040770815119949,16.955088999999987
0,COMPAS,35,0.6581439393939394,0.044467823432661,17.555723
0,COMPAS,50,0.6581439393939394,0.0451642538562982,17.53559200000001
1,COMPAS,0,0.6571969696969697,0.2439788098468408,16.125142999999994
1,COMPAS,1,0.6571969696969697,0.1381685230847717,16.232056999999998
1,COMPAS,2,0.6505681818181818,0.0941505269812165,16.958957000000012
1,COMPAS,4,0.6496212121212122,0.064535328628518,16.842298999999983
1,COMPAS,6,0.6439393939393939,0.0469015131070635,16.650379999999984
1,COMPAS,10,0.6448863636363636,0.0322288477392117,17.412905000000023
1,COMPAS,15,0.6439393939393939,0.0116338820641545,16.54513
1,COMPAS,25,0.6410984848484849,0.0193269575568477,17.03867199999999
1,COMPAS,35,0.6448863636363636,0.0271346343663471,16.763047
1,COMPAS,50,0.6486742424242424,0.039518970214748,17.475720999999993
2,COMPAS,0,0.6676136363636364,0.2333421997606064,16.65029299999999
2,COMPAS,1,0.6704545454545454,0.1269672385512258,18.69053000000001
2,COMPAS,2,0.6628787878787878,0.091191204504145,16.015045
2,COMPAS,4,0.6590909090909091,0.0489426785476792,16.616917
2,COMPAS,6,0.6581439393939394,0.0330496076605931,16.076585999999992
2,COMPAS,10,0.6609848484848485,0.0196391364099836,16.927330000000012
2,COMPAS,15,0.6543560606060606,0.004322383295651,18.095432999999986
2,COMPAS,25,0.6609848484848485,0.0083344416367424,17.852341999999993
2,COMPAS,35,0.6571969696969697,0.001773285454626,17.838538
2,COMPAS,50,0.6581439393939394,0.0262224586602828,16.337435
3,COMPAS,0,0.6988636363636364,0.2099339460403217,16.797669000000013
3,COMPAS,1,0.6912878787878788,0.1100774438653743,16.213352
3,COMPAS,2,0.6922348484848485,0.047399242421404,17.493847000000002
3,COMPAS,4,0.6903409090909091,0.0124801894321157,17.397550999999993
3,COMPAS,6,0.6941287878787878,0.0153426525741561,16.665962000000007
3,COMPAS,10,0.6893939393939394,0.0152789590225662,17.197755
3,COMPAS,15,0.6884469696969697,0.0319854029366474,16.27571499999999
3,COMPAS,25,0.6912878787878788,0.0304155442239315,17.477058
3,COMPAS,35,0.6903409090909091,0.0375754487585377,15.930825999999968
3,COMPAS,50,0.6893939393939394,0.0264590506663469,15.915609000000018
4,COMPAS,0,0.6808712121212122,0.2020161594804803,17.67138100000001
4,COMPAS,1,0.6742424242424242,0.0666465302423922,17.540829000000002
4,COMPAS,2,0.6723484848484849,0.0325454957335951,16.393586
4,COMPAS,4,0.6761363636363636,0.0060107226459261,16.73278099999999
4,COMPAS,6,0.6751893939393939,0.0173148078230008,16.633077000000014
4,COMPAS,10,0.6676136363636364,0.0417050517254398,16.559201
4,COMPAS,15,0.6732954545454546,0.035467794306426,16.10283799999999
4,COMPAS,25,0.6695075757575758,0.0509929774220342,16.684307999999987
4,COMPAS,35,0.6666666666666666,0.0640791361473986,17.497503000000023
4,COMPAS,50,0.6600378787878788,0.0904402325757003,15.397064999999998
5,COMPAS,0,0.6732954545454546,0.2358771355437823,16.795095000000003
5,COMPAS,1,0.6723484848484849,0.1134442526340853,16.799856000000005
5,COMPAS,2,0.6676136363636364,0.0804214536579558,18.30279999999999
5,COMPAS,4,0.6647727272727273,0.0537680814334186,16.48644200000001
5,COMPAS,6,0.6647727272727273,0.0358205845586047,17.857887999999974
5,COMPAS,10,0.6619318181818182,0.0155366390856598,16.514343000000025
5,COMPAS,15,0.6638257575757576,0.0035418774927079,17.415222
5,COMPAS,25,0.665719696969697,0.0170248229061253,16.129879000000017
5,COMPAS,35,0.6647727272727273,0.0031103041847729,16.088926999999984
5,COMPAS,50,0.6638257575757576,0.0015179474968748,15.940799999999996
6,COMPAS,0,0.6609848484848485,0.2331002331002331,16.81045499999999
6,COMPAS,1,0.6676136363636364,0.1208440682124892,16.004000000000005
6,COMPAS,2,0.6628787878787878,0.0871058765795607,17.765534999999986
6,COMPAS,4,0.6609848484848485,0.0471107839528892,16.48596500000002
6,COMPAS,6,0.665719696969697,0.0290761869709238,19.01673700000001
6,COMPAS,10,0.6685606060606061,0.0228192859771807,17.053232999999977
6,COMPAS,15,0.6619318181818182,0.0222058643111274,17.80007900000001
6,COMPAS,25,0.6647727272727273,0.0169304379830695,15.435028000000017
6,COMPAS,35,0.6609848484848485,0.0083425346583241,16.337671999999998
6,COMPAS,50,0.6553030303030303,0.0095693779904306,15.800817999999992
