Unnamed: 0,seed,dataset,lambda,acc,disparity,time
0,0,COMPAS,0.05,0.6534090909090909,0.2485293463926385,81.37559999999999
0,0,COMPAS,0.15,0.6515151515151515,0.2313260331619422,91.787975
0,0,COMPAS,0.25,0.6590909090909091,0.1832575162623912,91.86364600000002
0,0,COMPAS,0.35,0.6477272727272727,0.1797753641442055,92.61823500000014
0,0,COMPAS,0.45,0.6477272727272727,0.150303021322625,93.41702299999996
0,0,COMPAS,0.55,0.6429924242424242,0.1252241172373938,91.19376499999998
0,0,COMPAS,0.65,0.6590909090909091,0.0719027368233882,88.85942999999997
0,0,COMPAS,0.75,0.6486742424242424,0.0663831552743491,94.5942970000001
0,0,COMPAS,0.8500000000000001,0.6534090909090909,0.0283387911745965,94.51286900000014
0,0,COMPAS,0.95,0.6553030303030303,0.0195519137018981,95.54412100000012
0,1,COMPAS,0.05,0.6647727272727273,0.2307885679641261,79.000835
0,1,COMPAS,0.15,0.6553030303030303,0.1764010010979545,91.714148
0,1,COMPAS,0.25,0.6676136363636364,0.1245753281848999,91.319519
0,1,COMPAS,0.35,0.6676136363636364,0.1076143332975974,91.44648600000004
0,1,COMPAS,0.45,0.6666666666666666,0.0675001755987918,88.44168800000011
0,1,COMPAS,0.55,0.6609848484848485,0.0377481950292603,92.45416299999988
0,1,COMPAS,0.65,0.6647727272727273,0.0005951874840575,89.46663400000011
0,1,COMPAS,0.75,0.6619318181818182,0.0304987375371068,99.85225700000024
0,1,COMPAS,0.8500000000000001,0.6638257575757576,0.0362879524441503,91.38578800000003
0,1,COMPAS,0.95,0.6695075757575758,0.0463802619564293,95.06429400000002
0,2,COMPAS,0.05,0.6761363636363636,0.2485702886022077,78.513663
0,2,COMPAS,0.15,0.6799242424242424,0.1570244270071374,88.90374500000001
0,2,COMPAS,0.25,0.6751893939393939,0.1474265194839739,92.36070799999992
0,2,COMPAS,0.35,0.6723484848484849,0.1031608813228709,91.405212
0,2,COMPAS,0.45,0.678030303030303,0.0907035510041228,92.48502900000004
0,2,COMPAS,0.55,0.6714015151515151,0.0331382719333244,88.25617899999997
0,2,COMPAS,0.65,0.6628787878787878,0.0158265726825375,91.96025700000018
0,2,COMPAS,0.75,0.6628787878787878,0.00101963913641,97.59219099999996
0,2,COMPAS,0.8500000000000001,0.6581439393939394,0.041073724342776,93.13497000000008
0,2,COMPAS,0.95,0.6628787878787878,0.041450547501884,93.33531099999982
0,3,COMPAS,0.05,0.6846590909090909,0.2104322544145251,81.235287
0,3,COMPAS,0.15,0.6837121212121212,0.1848162066368681,91.05584600000005
0,3,COMPAS,0.25,0.6912878787878788,0.140223227164925,87.52088099999997
0,3,COMPAS,0.35,0.6742424242424242,0.0752857779792658,91.561198
0,3,COMPAS,0.45,0.6808712121212122,0.0827004567202316,92.09339200000012
0,3,COMPAS,0.55,0.6818181818181818,0.0238513617306661,89.73167399999988
0,3,COMPAS,0.65,0.6789772727272727,0.0022442610236677,89.45999100000017
0,3,COMPAS,0.75,0.6846590909090909,0.0017122325339168,99.0134280000002
0,3,COMPAS,0.8500000000000001,0.6789772727272727,0.0374480616553579,94.6955710000002
0,3,COMPAS,0.95,0.6751893939393939,0.0516404836213905,93.54825500000015
0,4,COMPAS,0.05,0.6723484848484849,0.1565657328399909,79.080965
0,4,COMPAS,0.15,0.6751893939393939,0.0646756777165294,93.57161
0,4,COMPAS,0.25,0.6647727272727273,0.0719474439326436,90.172372
0,4,COMPAS,0.35,0.678030303030303,0.0462886053009136,93.35200699999996
0,4,COMPAS,0.45,0.6666666666666666,0.0060107226459261,92.34729199999992
0,4,COMPAS,0.55,0.6732954545454546,0.020410783055199,93.3025459999999
0,4,COMPAS,0.65,0.6628787878787878,0.0330287699161821,90.69184599999994
0,4,COMPAS,0.75,0.6600378787878788,0.0660499886732613,97.23896800000011
0,4,COMPAS,0.8500000000000001,0.6534090909090909,0.0777769387600996,94.2914109999997
0,4,COMPAS,0.95,0.6590909090909091,0.0924563920561806,92.84878999999978
0,5,COMPAS,0.05,0.6751893939393939,0.2017977260551223,80.348816
0,5,COMPAS,0.15,0.6647727272727273,0.1657985594380618,90.672392
0,5,COMPAS,0.25,0.6761363636363636,0.1225817012917435,92.81108700000004
0,5,COMPAS,0.35,0.6666666666666666,0.0835019941663194,92.09062200000004
0,5,COMPAS,0.45,0.6676136363636364,0.0624739567831418,93.05345
0,5,COMPAS,0.55,0.6647727272727273,0.0449580332162629,91.74997900000004
0,5,COMPAS,0.65,0.6581439393939394,0.0070539913090065,88.46727600000008
