seed,dataset,lambda_mmd,in_processing,acc,disparity,time
0,COMPAS,0.0,True,0.665719696969697,0.2577977980944478,149.254831
0,COMPAS,0.1,True,0.6458333333333334,0.1645576185043045,156.67355299999997
0,COMPAS,0.2,True,0.6524621212121212,0.1027160786521848,156.66114800000005
0,COMPAS,0.3,True,0.6486742424242424,0.1162742454102271,151.0860130000001
0,COMPAS,0.4,True,0.6515151515151515,0.0875501948523419,150.967664
0,COMPAS,0.5,True,0.6458333333333334,0.1029309348467112,148.17847099999994
0,COMPAS,0.6,True,0.6486742424242424,0.0999303569576363,142.46109800000022
0,COMPAS,0.7,True,0.6505681818181818,0.0743698786432942,148.9515819999997
0,COMPAS,0.8,True,0.6477272727272727,0.0727621616014936,148.61876900000016
0,COMPAS,0.9,True,0.6505681818181818,0.0548105561071021,143.79882499999985
0,COMPAS,1.0,True,0.6477272727272727,0.0962333486449242,146.13638900000024
0,COMPAS,1.1,True,0.6448863636363636,0.0775853127268955,146.76931299999933
0,COMPAS,1.2,True,0.6439393939393939,0.0745847348378206,144.14937599999985
0,COMPAS,1.3,True,0.6429924242424242,0.065153288781543,153.22165799999993
0,COMPAS,1.4,True,0.6458333333333334,0.0791930297686961,153.83510300000034
0,COMPAS,1.5,True,0.6486742424242424,0.0789781735741698,147.70057300000008
0,COMPAS,1.6,True,0.6515151515151515,0.0529361210307169,144.94648599999982
0,COMPAS,1.7,True,0.6477272727272727,0.0759775956850948,145.42704199999935
0,COMPAS,1.8,True,0.6534090909090909,0.0446826796271874,145.12595799999963
0,COMPAS,1.9,True,0.65625,0.0672425800524545,141.43323200000032
0,COMPAS,2.0,True,0.6477272727272727,0.076674026108732,140.40612599999986
0,COMPAS,2.1,True,0.6486742424242424,0.071154444559693,144.19061799999963
0,COMPAS,2.2,True,0.6458333333333334,0.0428601063908604,143.52414899999894
0,COMPAS,2.3,True,0.6458333333333334,0.0812823210396076,140.67417899999964
0,COMPAS,2.4,True,0.6477272727272727,0.0621527108924681,146.8734889999996
0,COMPAS,2.5,True,0.6524621212121212,0.0534176952598278,144.87540900000022
0,COMPAS,2.6,True,0.6477272727272727,0.0347696593417991,146.64383500000076
0,COMPAS,2.7,True,0.6505681818181818,0.0538474076488805,148.61637599999997
0,COMPAS,2.8,True,0.6524621212121212,0.0409856713144753,148.1512160000002
0,COMPAS,2.9,True,0.6496212121212122,0.0437195311689658,146.91382599999997
0,COMPAS,3.0,True,0.6477272727272727,0.0540622638434069,145.5883190000004
0,COMPAS,3.1,True,0.6458333333333334,0.0575444159615926,145.676594999999
0,COMPAS,3.2,True,0.6486742424242424,0.0411486656689435,146.39561200000026
0,COMPAS,3.3,True,0.6486742424242424,0.0386296620089795,150.66750499999944
0,COMPAS,3.4,True,0.6515151515151515,0.0554551246906811,157.0421380000007
0,COMPAS,3.5,True,0.646780303030303,0.0644568583579059,152.53908799999954
0,COMPAS,3.6,True,0.6429924242424242,0.0462903966689881,154.77808299999924
0,COMPAS,3.7,True,0.6439393939393939,0.0405040970853646,156.16100600000027
0,COMPAS,3.8,True,0.6477272727272727,0.0476313956762043,154.43392100000165
0,COMPAS,3.9,True,0.6477272727272727,0.0402373790507801,150.7356230000005
0,COMPAS,4.0,True,0.6448863636363636,0.0559366989197919,146.53967100000045
0,COMPAS,4.1,True,0.6458333333333334,0.0163364796182968,150.39083299999947
0,COMPAS,4.2,True,0.6420454545454546,0.0324136500363032,148.1755659999999
0,COMPAS,4.3,True,0.646780303030303,0.0289833597581756,147.9287809999987
0,COMPAS,4.4,True,0.6429924242424242,0.0481129699053151,148.3207820000025
0,COMPAS,4.5,True,0.6401515151515151,0.0346659356616829,151.98361300000215
0,COMPAS,4.6,True,0.646780303030303,0.0460236786344036,154.507282999999
0,COMPAS,4.7,True,0.6439393939393939,0.0252863514454635,158.03869199999826
0,COMPAS,4.8,True,0.6401515151515151,0.0121578970764739,155.51629299999877
0,COMPAS,4.9,True,0.646780303030303,0.0214263487782832,148.32942700000058
1,COMPAS,0.0,True,0.6647727272727273,0.2394021508079392,151.325684
1,COMPAS,0.1,True,0.6676136363636364,0.1018251183905538,158.56715600000007
1,COMPAS,0.2,True,0.6647727272727273,0.0734224759059973,149.84675600000003
1,COMPAS,0.3,True,0.6581439393939394,0.0296706506027659,152.38695100000007
1,COMPAS,0.4,True,0.6638257575757576,0.0210570677589527,149.86817199999996
1,COMPAS,0.5,True,0.6524621212121212,0.004901978905964,149.4236350000001
1,COMPAS,0.6,True,0.65625,0.0086727319105518,142.79505299999985
1,COMPAS,0.7,True,0.6619318181818182,0.0125765703153015,148.861981
1,COMPAS,0.8,True,0.6581439393939394,0.0311715581712587,150.3654360000005
1,COMPAS,0.9,True,0.6543560606060606,0.0159628543860881,143.93834300000026
1,COMPAS,1.0,True,0.6647727272727273,0.0096154201616987,145.84118399999988
1,COMPAS,1.1,True,0.6666666666666666,0.0144804309009511,148.0798689999997
1,COMPAS,1.2,True,0.6647727272727273,0.0033086509206922,144.93039
1,COMPAS,1.3,True,0.665719696969697,0.0085396465103899,152.25207499999988
1,COMPAS,1.4,True,0.65625,0.0361548670439884,155.166972
1,COMPAS,1.5,True,0.6704545454545454,0.005327112823148,148.44920399999955
1,COMPAS,1.6,True,0.6676136363636364,0.0142105632839562,145.83543499999996
1,COMPAS,1.7,True,0.6676136363636364,0.0240367019959112,146.40609799999947
