seed,dataset,epsilon,acc,disparity,time
0,COMPAS,0.001,0.6590909090909091,0.0296427460103427,104.31812262535097
0,COMPAS,0.016,0.6666666666666666,0.0193889193474298,121.90062308311462
0,COMPAS,0.031,0.665719696969697,0.0380369552654585,127.9468071460724
0,COMPAS,0.046,0.6486742424242424,0.1611273282261768,109.33314752578735
0,COMPAS,0.061,0.6571969696969697,0.1139700979447893,94.34225869178772
0,COMPAS,0.076,0.6543560606060606,0.1533035992117,71.37811374664307
0,COMPAS,0.091,0.6553030303030303,0.1549113162535006,93.6156096458435
0,COMPAS,0.106,0.6524621212121212,0.1376561411827463,107.40371561050416
0,COMPAS,0.121,0.6543560606060606,0.1397454324536577,58.813172340393066
0,COMPAS,0.1359999999999999,0.6543560606060606,0.2193755834457006,62.993467807769775
1,COMPAS,0.001,0.6581439393939394,0.0249609061637024,113.54369640350342
1,COMPAS,0.016,0.6590909090909091,0.0024805639863513,116.72378420829772
1,COMPAS,0.031,0.6571969696969697,0.0618440460919102,103.13880896568298
1,COMPAS,0.046,0.6600378787878788,0.0086727319105518,88.43736147880554
1,COMPAS,0.061,0.65625,0.0726128730550123,103.1074869632721
1,COMPAS,0.076,0.6600378787878788,0.0249609061637024,122.18190860748292
1,COMPAS,0.091,0.6581439393939394,0.0224027090272566,108.84092950820924
1,COMPAS,0.106,0.6628787878787878,0.0735555613061592,123.01623582839966
1,COMPAS,0.121,0.6590909090909091,0.0735555613061592,88.0535397529602
1,COMPAS,0.1359999999999999,0.6571969696969697,0.266595934241025,104.00002932548524
2,COMPAS,0.001,0.6628787878787878,0.0105067163186594,107.9125382900238
2,COMPAS,0.016,0.6628787878787878,0.0105067163186594,112.61431455612184
2,COMPAS,0.031,0.6638257575757576,0.0811056434809593,154.80184030532837
2,COMPAS,0.046,0.6590909090909091,0.0487653500022166,143.7447063922882
2,COMPAS,0.061,0.6647727272727273,0.1204947466418406,94.08237099647522
2,COMPAS,0.076,0.6647727272727273,0.0118366804096289,89.98126697540283
2,COMPAS,0.091,0.6647727272727273,0.0437114864565323,144.12586045265198
2,COMPAS,0.106,0.6647727272727273,0.1639845724165447,112.07659983634947
2,COMPAS,0.121,0.6647727272727273,0.2270692024648667,107.97931909561156
2,COMPAS,0.1359999999999999,0.6638257575757576,0.2175599592144345,127.77220058441162
3,COMPAS,0.001,0.6761363636363636,0.0840455146626302,81.81959819793701
3,COMPAS,0.016,0.6761363636363636,0.0840455146626302,105.17107343673706
3,COMPAS,0.031,0.6789772727272727,0.066649681719576,158.08132648468018
3,COMPAS,0.046,0.6818181818181818,0.0784254954046976,142.13242840766907
3,COMPAS,0.061,0.6856060606060606,0.0555033101913429,124.0065553188324
3,COMPAS,0.076,0.6865530303030303,0.0728991431343971,130.93921399116516
3,COMPAS,0.091,0.6837121212121212,0.0752857779792658,123.3413405418396
3,COMPAS,0.106,0.6808712121212122,0.2003237131092569,77.07730317115784
3,COMPAS,0.121,0.6808712121212122,0.2003237131092569,90.10483646392822
3,COMPAS,0.1359999999999999,0.6808712121212122,0.2003237131092569,91.21078395843506
4,COMPAS,0.001,0.6647727272727273,0.0467265725288831,99.15526723861694
4,COMPAS,0.016,0.6770833333333334,0.0372347655365098,132.2612156867981
4,COMPAS,0.031,0.6751893939393939,0.007090538397644,99.29694509506226
4,COMPAS,0.046,0.6647727272727273,0.0028694404591104,126.65684986114502
4,COMPAS,0.061,0.6761363636363636,0.0356867779204107,94.47632932662964
4,COMPAS,0.076,0.6761363636363636,0.217684814619044,118.24630117416382
4,COMPAS,0.091,0.6770833333333334,0.0341387903043117,99.53380632400513
4,COMPAS,0.106,0.678030303030303,0.153937929472174,84.92526030540466
4,COMPAS,0.121,0.6676136363636364,0.0190515744166729,100.62365937232973
4,COMPAS,0.1359999999999999,0.6695075757575758,0.1714339651136449,95.03191709518433
5,COMPAS,0.001,0.6534090909090909,0.0732335258051074,117.84630393981934
5,COMPAS,0.016,0.6638257575757576,0.0127090898267753,113.62554049491882
5,COMPAS,0.031,0.6628787878787878,0.0537680814334186,124.342129945755
5,COMPAS,0.046,0.6638257575757576,0.0772367402821596,128.42331504821777
5,COMPAS,0.061,0.6666666666666666,0.0648104053812727,97.98358583450316
5,COMPAS,0.076,0.6628787878787878,0.0466545627715935,94.44671964645386
5,COMPAS,0.091,0.6666666666666666,0.0648104053812727,95.8011429309845
5,COMPAS,0.106,0.6647727272727273,0.1136525983689505,103.56817579269408
5,COMPAS,0.121,0.6647727272727273,0.1136525983689505,85.4014036655426
5,COMPAS,0.1359999999999999,0.6666666666666666,0.0257306982558485,107.05215215682983
6,COMPAS,0.001,0.6628787878787878,0.1310268678689731,97.6962342262268
6,COMPAS,0.016,0.6723484848484849,0.0969206232364127,81.28053259849548
6,COMPAS,0.031,0.6732954545454546,0.0874739295791927,105.4021782875061
6,COMPAS,0.046,0.6714015151515151,0.0837933995828733,128.1099247932434
6,COMPAS,0.061,0.6732954545454546,0.0835480309164519,122.92863535881042
6,COMPAS,0.076,0.6723484848484849,0.0993743099006256,123.0937750339508
6,COMPAS,0.091,0.6742424242424242,0.090541037909459,100.90263390541077
6,COMPAS,0.106,0.6761363636363636,0.0890688259109311,112.30930852890016
6,COMPAS,0.121,0.6695075757575758,0.0999877315666789,93.21747326850893
6,COMPAS,0.1359999999999999,0.6742424242424242,0.092258618574408,95.5961527824402
7,COMPAS,0.001,0.6638257575757576,0.1161433179844362,123.14963507652284
7,COMPAS,0.016,0.6789772727272727,0.0187371442059474,93.3625626564026
7,COMPAS,0.031,0.6808712121212122,0.0027837828724293,116.96554279327393
7,COMPAS,0.046,0.6856060606060606,0.0343945178585478,116.5052089691162
7,COMPAS,0.061,0.6818181818181818,0.0384783985193122,131.5224962234497
7,COMPAS,0.076,0.6856060606060606,0.070819736008962,98.04101395606996
7,COMPAS,0.091,0.6875,0.0922357560611907,117.44575786590576
7,COMPAS,0.106,0.6903409090909091,0.0771628644114153,79.88554620742798
7,COMPAS,0.121,0.6903409090909091,0.0723895947216778,77.8866593837738
7,COMPAS,0.1359999999999999,0.6875,0.0843227689460215,128.18994760513306
8,COMPAS,0.001,0.6600378787878788,0.0265160673782137,99.65385007858276
8,COMPAS,0.016,0.6600378787878788,0.0265160673782137,97.09676504135132
8,COMPAS,0.031,0.6714015151515151,0.0742058420549664,130.05926513671875
8,COMPAS,0.046,0.6676136363636364,0.0498888927267912,117.86781144142152
8,COMPAS,0.061,0.6751893939393939,0.1411235075357212,108.26669311523438
8,COMPAS,0.076,0.678030303030303,0.1456483944135493,94.975576877594
8,COMPAS,0.091,0.6865530303030303,0.1969189319885323,101.19229650497437
8,COMPAS,0.106,0.6875,0.2167109944388794,107.7460446357727
8,COMPAS,0.121,0.6875,0.2167109944388794,101.0129327774048
8,COMPAS,0.1359999999999999,0.6865530303030303,0.2333943559807951,73.9805064201355
9,COMPAS,0.001,0.6524621212121212,0.0410038166649778,108.8598735332489
9,COMPAS,0.016,0.6534090909090909,0.0490311975771495,132.17286729812622
9,COMPAS,0.031,0.6808712121212122,0.2025872259938528,167.22417998313904
9,COMPAS,0.046,0.6865530303030303,0.2230328413325678,134.0861074924469
9,COMPAS,0.061,0.6837121212121212,0.2081151979824591,127.14824104309082
9,COMPAS,0.076,0.6827651515151515,0.1969579266164532,102.85510158538818
9,COMPAS,0.091,0.6818181818181818,0.2041521712207697,120.45486283302309
9,COMPAS,0.106,0.6846590909090909,0.208847006901521,85.76883935928345
9,COMPAS,0.121,0.6695075757575758,0.1083302372186757,56.87201976776123
9,COMPAS,0.1359999999999999,0.6695075757575758,0.1116627824500962,72.86546540260315
10,COMPAS,0.001,0.6571969696969697,0.0094115687336026,88.3325707912445
10,COMPAS,0.016,0.6685606060606061,0.0785407904051971,99.34602046012878
10,COMPAS,0.031,0.6704545454545454,0.1126889601465873,102.37448143959044
10,COMPAS,0.046,0.6685606060606061,0.0816224545038104,134.83467555046082
10,COMPAS,0.061,0.6723484848484849,0.0930329404905676,108.55252361297607
10,COMPAS,0.076,0.6723484848484849,0.0816224545038104,76.28157925605774
10,COMPAS,0.091,0.6742424242424242,0.1157706242452005,112.20056700706482
10,COMPAS,0.106,0.6704545454545454,0.1148544538375047,104.97587370872498
10,COMPAS,0.121,0.6751893939393939,0.2040144921500853,82.17814111709595
10,COMPAS,0.1359999999999999,0.6761363636363636,0.3110814975221755,107.73775601387024
11,COMPAS,0.001,0.6316287878787878,0.0687675211943121,122.29204106330872
11,COMPAS,0.016,0.6609848484848485,0.1330428614854595,120.3508849143982
11,COMPAS,0.031,0.6619318181818182,0.1206246270589162,169.36421179771423
11,COMPAS,0.046,0.6600378787878788,0.1404397608673624,118.9594271183014
11,COMPAS,0.061,0.6723484848484849,0.2389862757681178,136.52105569839478
11,COMPAS,0.076,0.6543560606060606,0.094144402787629,124.38538122177124
11,COMPAS,0.091,0.6732954545454546,0.2668287904887358,116.97079038619997
11,COMPAS,0.106,0.6704545454545454,0.2658943267920874,123.77154326438904
11,COMPAS,0.121,0.6751893939393939,0.2589027369653572,123.89544081687929
11,COMPAS,0.1359999999999999,0.6770833333333334,0.2668287904887358,131.4967486858368
12,COMPAS,0.001,0.6837121212121212,0.0856152151913804,92.1463258266449
12,COMPAS,0.016,0.6837121212121212,0.0927287338532055,102.30149245262146
12,COMPAS,0.031,0.6808712121212122,0.0958092743615691,124.88966751098631
12,COMPAS,0.046,0.6818181818181818,0.1229983927614739,157.2589132785797
12,COMPAS,0.061,0.6799242424242424,0.1074915173522233,151.92648124694824
12,COMPAS,0.076,0.6827651515151515,0.1145008631466159,98.62427186965942
12,COMPAS,0.091,0.6846590909090909,0.1145008631466159,101.89021348953248
12,COMPAS,0.106,0.6827651515151515,0.0958092743615691,110.23898434638976
12,COMPAS,0.121,0.6846590909090909,0.1592059051133996,127.39639186859132
12,COMPAS,0.1359999999999999,0.6846590909090909,0.2341806059884517,115.00126886367798
13,COMPAS,0.001,0.6723484848484849,0.0825771324863884,89.29936861991882
13,COMPAS,0.016,0.6695075757575758,0.064180828246164,112.84501671791077
13,COMPAS,0.031,0.6714015151515151,0.091239069460485,137.89504861831665
13,COMPAS,0.046,0.665719696969697,0.0905791123576967,104.61560654640198
13,COMPAS,0.061,0.6751893939393939,0.1093878897871638,124.75118565559389
13,COMPAS,0.076,0.6751893939393939,0.1559148655337403,119.35548520088196
13,COMPAS,0.091,0.6770833333333334,0.2382445141065831,113.36575984954834
13,COMPAS,0.106,0.678030303030303,0.121184622999505,77.13130354881287
13,COMPAS,0.121,0.6761363636363636,0.1243194192377495,76.82578301429749
13,COMPAS,0.1359999999999999,0.6695075757575758,0.0833195842270252,79.54994750022888
14,COMPAS,0.001,0.6723484848484849,0.0604545797779959,92.22427034378052
14,COMPAS,0.016,0.6685606060606061,0.0639734199199577,79.17771315574646
14,COMPAS,0.031,0.6647727272727273,0.0484935437589669,109.4114601612091
14,COMPAS,0.046,0.6761363636363636,0.086581590274107,136.22321939468384
